channel_id,baseline_140,max_reaction_R_140,responsivity_140,baseline_150,max_reaction_R_150,responsivity_150,baseline_152,max_reaction_R_152,responsivity_152,baseline_155,max_reaction_R_155,responsivity_155,baseline_157,max_reaction_R_157,responsivity_157,baseline_160,max_reaction_R_160,responsivity_160,baseline_162,max_reaction_R_162,responsivity_162,baseline_165,max_reaction_R_165,responsivity_165,baseline_167,max_reaction_R_167,responsivity_167,baseline_170,max_reaction_R_170,responsivity_170,baseline_172,max_reaction_R_172,responsivity_172,baseline_175,max_reaction_R_175,responsivity_175,baseline_177,max_reaction_R_177,responsivity_177,baseline_180,max_reaction_R_180,responsivity_180,baseline_182,max_reaction_R_182,responsivity_182,baseline_185,max_reaction_R_185,responsivity_185,baseline_187,max_reaction_R_187,responsivity_187,baseline_190,max_reaction_R_190,responsivity_190,baseline_192,max_reaction_R_192,responsivity_192,baseline_195,max_reaction_R_195,responsivity_195
0,15722.036457577908,15002.85986492688,0.0479359668173862,18109.68780251357,16210.142129877288,0.1171825427202879,25406.568538398325,20378.227316464487,0.2467506689294418,34815.40017007807,27360.637144104403,0.2724630638793439,45376.70510740431,36475.51368622337,0.2440319688915821,54753.0090698686,43351.86459826088,0.2629908673424186,63007.1556888144,46594.98892959787,0.3522302963525603,67527.92041675239,52206.472832932,0.2934779300806465,71474.21809487291,58331.64931289422,0.225307683509534,72623.3192364938,61161.517664458006,0.1874021772140628,72756.28014512738,63060.99870745656,0.1537444955898617,71409.36301443103,63832.74117783386,0.1186949157563075,68833.08955648702,62605.70100067816,0.0994699916504631,65990.3392726568,61363.22540689468,0.0754053235481038,62573.28370642048,58946.67747311554,0.0615235054589626,58996.31389154248,54955.572579521584,0.0735274171909297,55386.60756200732,51813.185126623146,0.0689674341897974,51605.70982242949,48567.83536216588,0.0625491014291756,48453.75248074639,45437.51436965603,0.0663821107499809,45524.66192018085,42353.97618374337,0.0748615837786317
1,18691.82347190323,17674.55038528697,0.0575558112902878,21162.851858180427,18513.87130353145,0.1430808560359655,29994.580089098043,25825.76522448049,0.1614207683056721,43040.913959353325,37272.1175639696,0.1547751180351593,52548.61809477364,49386.76717770538,0.0640222289847636,65427.11995400245,60735.38330226184,0.077248819331414,75716.6162798949,69609.9379758024,0.0877271045150949,80702.05894855855,77323.34107526694,0.0436959632926718,84762.98078425406,82182.4466152533,0.0314000650416486,87093.81050321,84229.70379108374,0.0340035234984341,87115.03306765646,84413.76492533335,0.0320003277275036,85052.06959468739,82221.91570556008,0.0344209188613677,82340.4823139647,79258.72195009617,0.0388822868706981,78754.65529199076,75418.28673605483,0.0442381907668147,74224.4151855272,70716.86341767725,0.0495999341364052,70477.48637369335,66267.17641577107,0.0635353758172236,66267.17641577107,62640.71914926296,0.0578929698726293,62156.714586654656,58195.15306122448,0.0680737366780768,58048.90615177457,54151.44874604335,0.0719732804196857,54439.94753928364,50797.02142690601,0.071715348854058
2,20680.163352661893,20134.88482125794,0.0270812838635292,23583.48367559605,21097.188178796445,0.1178496146371976,33411.74381280198,27592.364501349763,0.2109054231712379,46985.25468788569,37784.21868428559,0.2435153173466784,60322.91794412592,47495.182481131866,0.2700849811049794,73443.05943925797,55273.04679151453,0.3287318811332991,84969.32794005005,64694.69715144924,0.3133893762751254,91870.72286136352,73124.88644401645,0.2563537166201093,96305.91433895072,80166.33919617336,0.2013260840473525,98509.74994448324,86405.7527424308,0.1400832330936754,98306.48290741176,89173.57113476991,0.1024172482544083,96453.95854762803,89196.28038333455,0.0813674979842489,92776.5545515749,86715.41302975515,0.0698969342363617,89027.94190665783,84101.54424048186,0.0585767801372267,84845.42684701817,80149.31144690733,0.0585920866359737,79465.37275883908,76264.68031647937,0.0419682142385915,74861.29030692572,71572.22068377734,0.0459545559956877,69734.7297408383,67181.90250343182,0.037998733919095,65715.06480541835,62708.37253296266,0.0479472222130341,61230.305178513096,58207.36560578801,0.0519339698896199
3,22206.347051052013,20975.491654386253,0.0586806458197308,25239.81724484943,22109.66421124956,0.1415739743350434,34490.092903978744,29571.064727030367,0.166345994720034,48094.9195827263,40796.46385366848,0.1788992240905098,65340.97577882384,50867.936470384,0.2845218483919876,78959.4519028373,59787.3421396429,0.3206717187463337,90230.84845367832,76158.1583476605,0.1847824371195567,97675.10921391447,88983.67999309427,0.0976744187416696,103353.1717230367,97399.05452164638,0.0611311601599484,106268.76472103648,99535.09554224664,0.0676512052568614,106240.44725599102,100523.01107787628,0.0568768893491002,103844.90071980322,99020.5152211434,0.0487210704558087,100418.36271580883,95278.52283731468,0.0539454194443203,96109.17842275888,91502.70898502418,0.0503424378232193,91709.56272415696,86986.72396438888,0.0542937881153169,86349.138243803,80971.99396402837,0.0664074578941875,81243.09018561452,75698.9548502302,0.0732392586707879,75786.96539000937,70957.338093885,0.0680638173001106,71053.85582603083,65917.72902073327,0.0779172292735097,66267.17641577107,62130.00928511194,0.0665888703102206
4,22691.64921146226,6720.516091285484,2.3764742027604986,25032.929932817107,7960.463860417896,2.1446571923137863,36354.97161253782,9535.555552731184,2.812569850964268,50544.70017132072,12800.13055082149,2.948764426318827,67391.99398330212,15589.763150383107,3.32283629540876,80204.1751966753,19653.622634526542,3.0808850708152127,92948.47284921203,23349.94542440645,2.98067195275146,103409.6719905754,26473.194458734903,2.906203014213689,108774.09829074497,28734.82527796457,2.785444917048404,111634.84428873414,30989.161907251884,2.6023834598318087,112551.00416505724,32028.619243348377,2.514076061472165,109656.27837178744,33052.932360917046,2.3175960660437163,105593.71919878556,33688.64225285001,2.134401155328617,100453.38531440913,31721.6176632476,2.166716980855412,95261.54563765576,29698.15043121325,2.207659206195357,90841.04464268703,27632.38047514566,2.2874853009640383,84046.37720461283,25311.10438463138,2.3205337834110806,78667.69322595258,23357.137681060416,2.3680365419835576,73157.20395244476,21885.099885093965,2.342785929081934,68556.56081338282,19959.22263229476,2.4348312094307616
0,16895.139140871357,16469.35631537614,0.0258530338005802,19282.068920682093,17706.982715635906,0.0889528289681633,28899.05349361086,20895.046149974693,0.3830576532919436,40723.12653569082,26726.480234630275,0.523699573538482,52911.00715560108,32104.676741473755,0.6480778667130793,65226.465891291766,38459.97358514591,0.6959571162181888,75839.83569438482,46265.638591763374,0.6392259569478094,80894.70412639288,52324.37506654352,0.5460233213204182,84393.282779057,57505.56606340031,0.4675672035992617,86688.37976838984,62425.477905625485,0.3886698616780297,85592.65322553983,66034.49564609984,0.2961809185953123,83177.19025953127,67586.75801959858,0.2306728817412995,80204.1751966753,69468.75461893315,0.1545359584554335,76728.97926028041,69687.68813597501,0.1010406760885278,72424.51181424006,68572.20429811542,0.0561788490767607,67781.46097450987,64714.60106454179,0.0473905403034071,63225.72063233305,60865.09557719245,0.038784545275982,58612.31153121878,56660.89965397923,0.0344401851921973,55204.61167512437,52868.290436155614,0.0441913521260939,51000.12944496967,49124.45000720972,0.0381821972049492
1,20882.628736526283,19582.434408950427,0.0663959495751755,23597.95538857856,21269.98458102,0.109448636349078,33619.12812462263,28009.959227462125,0.2002562321354986,48274.23501286748,34827.52800416136,0.3860942128048665,64419.19679173424,43332.968949094575,0.4866093497403956,76926.84510805341,52421.530181184906,0.4674666085131551,88303.97754308308,61151.78966283534,0.4440129721460846,96552.83273642586,67781.37707695308,0.4244743453177142,103244.3449497143,69813.22406791609,0.4788651624121465,105788.89814461344,76836.32500076295,0.3768084059663577,105312.22204344724,82498.94378874941,0.2765281251735119,103190.07291970188,86308.04098711003,0.1956020753050478,98764.6673780756,88194.67590823374,0.1198484076390269,94314.30306657685,88020.73610152311,0.0715009581128101,89005.83395001109,83640.44297067686,0.0641482850732302,84722.00315801543,78218.18329343988,0.0831497177603333,78773.22964513628,73241.18420111341,0.0755318951265504,73460.01721617655,67977.80854355916,0.0806470345260463,68786.87234187813,63157.293095564695,0.0891358538402713,63707.46044481907,58958.96716151182,0.0805389495765633
2,22499.720038005435,21934.37784941649,0.025774252293369,26569.283036483925,23017.51739771691,0.1543070687162513,37937.9988790896,27534.60531238309,0.377829769073458,54328.7367839383,35354.44081896088,0.5366877689323075,70989.4903827087,44460.95152040575,0.596670515477552,87393.95216499132,49376.80343865614,0.7699394468409895,99612.56304684465,57812.14260363192,0.7230387693776068,107958.22057471362,65499.060081273965,0.6482407601079245,113167.53827099218,73241.44187502397,0.5451298523600392,116323.54891142104,79277.71708478869,0.4672918594138036,116516.85533078092,84150.79496062243,0.3846197814923067,113508.87409068472,87458.86308442545,0.2978544436498422,108190.21638043274,89359.80901195746,0.2107256895094251,103899.76139154944,90096.44598734028,0.1532059922335749,97624.80657933847,89626.52656313792,0.089240098025735,92287.24627950032,87501.57211551492,0.0546924363560872,86476.12979534378,81946.3068165004,0.0552779393583515,80166.06723630511,77052.23439205739,0.0404119733686618,75418.29806309473,71393.13386330532,0.0563802705102747,70255.08560077293,66442.86480502886,0.0573759245169622
3,23721.553947609904,22626.017860938537,0.0484193061900961,26387.801670783952,23911.92751938161,0.1035413874266533,38252.74607126247,30157.651314074334,0.2684259020333661,57951.67816218114,42960.7570348469,0.3489445289610375,74158.6281948986,53945.60654054256,0.374692638577806,90818.2456406891,75670.913663081,0.2001737688149301,105901.53095539368,87937.55026205124,0.2042811135835638,113291.43749848809,101154.14170222278,0.1199881249746057,120142.99355296147,111272.5079450031,0.0797185735432748,123299.7920446016,115820.28491775374,0.0645785592062668,123020.64495899277,116807.98042233373,0.0531869870037677,119806.8688285244,113882.59432631428,0.0520208951794247,115746.37248113978,109421.269065728,0.0578050635805764,110190.9376943396,103982.12402202011,0.0597103947502037,103544.01349877616,96726.21070979373,0.0704855771662325,96825.47813545851,92240.8367940853,0.0497029461214426,91296.61509346672,85759.95560329143,0.0645599621784644,84969.3843272386,79748.3949332741,0.065468269277807,79748.3949332741,74430.1908565117,0.0714522429079209,73832.29356958639,69173.35354975029,0.0673516575495407
4,24427.460282014945,6980.481641310895,2.499394674638469,27244.236365708835,8191.511898877196,2.325910613575888,42227.8204703392,13328.22664283029,2.1682999998394377,55937.7553823034,19771.32235069136,1.8292369316586143,76175.96968159816,27991.8249041174,1.721364896448506,91490.27965134564,34382.549630615176,1.6609509950326702,106694.72325010013,38102.06915249179,1.8002343605825546,117229.55174869606,40737.98085176791,1.8776475735323208,124361.94838958958,42055.18840481351,1.9571130960705787,127821.8659818284,41774.76086120107,2.0597868987574466,127711.23022584044,40903.31122019023,2.1222711906707707,125315.04502805292,38991.84127581328,2.213878619930321,121159.6432288706,36935.273185892525,2.280323462590435,116194.9302223378,34358.725831768264,2.381817206821544,108807.91753954972,31753.85743721394,2.426604712661847,101369.06017432432,29022.29522155234,2.4927995666947225,94388.81452368022,26845.675331293,2.515978397222689,88763.52155685521,25050.998219809164,2.5433127565617384,82026.15639828707,23382.41463664291,2.5080276213108776,76800.60961670897,21330.21184008306,2.600555409036665
